CD_MISSION_1,CD_MISSION_2,FROM_X,FROM_Y,TO_X,TO_Y,NM_PRIORITY,DISTANCE
3911722,3913007,194,373,105,209,1,205
3913007,3911722,358,442,246,426,1,205
3911722,3912997,194,373,246,426,1,59
3912997,3911722,1,230,246,426,1,59
3911722,3911690,194,373,156,302,1,105
3911690,3911722,210,374,246,426,1,105
3911722,3912767,194,373,134,257,1,142
3912767,3911722,401,416,246,426,1,142
3911722,3913000,194,373,246,426,1,59
3913000,3911722,194,372,246,426,1,59
3911722,3913018,194,373,105,209,1,205
3913018,3911722,356,442,246,426,1,205
3911722,3913003,194,373,246,426,1,59
3913003,3911722,1,230,246,426,1,59
3911722,3913008,194,373,246,426,1,59
3913008,3911722,1,230,246,426,1,59
3911722,3913020,194,373,134,257,1,142
3913020,3911722,401,416,246,426,1,142
3911722,3913022,194,373,156,302,1,105
3913022,3911722,210,374,246,426,1,105
3911722,3913015,194,373,246,426,1,59
3913015,3911722,1,230,246,426,1,59
3911722,3911926,194,373,107,220,1,203
3911926,3911722,356,434,246,426,1,203
3911722,3913017,194,373,246,426,1,59
3913017,3911722,194,372,246,426,1,59
3911722,3913030,194,373,190,286,1,88
3913030,3911722,401,417,246,426,1,88
3911722,3913019,194,373,246,426,1,59
3913019,3911722,1,230,246,426,1,59
3911722,3913041,194,373,156,302,1,105
3913041,3911722,210,374,246,426,1,105
3911722,3911700,194,373,152,494,1,135
3911700,3911722,241,369,246,426,1,135
3911722,3913024,194,373,246,426,1,59
3913024,3911722,1,230,246,426,1,59
3911722,3913031,194,373,246,426,1,59
3913031,3911722,1,230,246,426,1,59
3911722,3913048,194,373,156,302,1,105
3913048,3911722,210,374,246,426,1,105
3911722,3913049,194,373,190,286,1,88
3913049,3911722,401,417,246,426,1,88
3911722,3912843,194,373,103,204,1,207
3912843,3911722,361,442,246,426,1,207
3911722,3911703,194,373,100,320,1,122
3911703,3911722,194,375,246,426,1,122
3911722,3913036,194,373,246,426,1,59
3913036,3911722,1,230,246,426,1,59
3911722,3913060,194,373,156,302,1,105
3913060,3911722,210,374,246,426,1,105
